territorio_id,territorio_nome,cod_municipio,municipio_nome,sigla_uf,ano,fonte,tema,indicador,valor,cor_ou_raca,sexo,grupo_de_idade,situacao,nacionalidade,grupo_de_unidade_de_conservacao,lugar,pais
1,Altamira,1501725,Brasil Novo ,PA,,Censo 2022,Situação do domicílio,percentual,"45,77",,,,Rural,,,,
5,Rio Branco-Brasiléia,1200104,Brasiléia ,AC,,Censo 2022,Situação do domicílio,populacao_pessoas,16744,,,,Urbana,,,,
5,Rio Branco-Brasiléia,1200104,Brasiléia ,AC,,Censo 2022,Situação do domicílio,percentual,"64,4",,,,Urbana,,,,
5,Rio Branco-Brasiléia,1200104,Brasiléia ,AC,,Censo 2022,Situação do domicílio,populacao_pessoas,9256,,,,Rural,,,,
5,Rio Branco-Brasiléia,1200104,Brasiléia ,AC,,Censo 2022,Situação do domicílio,percentual,"35,6",,,,Rural,,,,
5,Rio Branco-Brasiléia,1200138,Bujari ,AC,,Censo 2022,Situação do domicílio,populacao_pessoas,5942,,,,Urbana,,,,
5,Rio Branco-Brasiléia,1200138,Bujari ,AC,,Censo 2022,Situação do domicílio,percentual,46,,,,Urbana,,,,
5,Rio Branco-Brasiléia,1200138,Bujari ,AC,,Censo 2022,Situação do domicílio,populacao_pessoas,6975,,,,Rural,,,,
5,Rio Branco-Brasiléia,1200138,Bujari ,AC,,Censo 2022,Situação do domicílio,percentual,54,,,,Rural,,,,
6,Salgado-Bragantino,1502202,Capanema ,PA,,Censo 2022,Situação do domicílio,populacao_pessoas,59704,,,,Urbana,,,,
6,Salgado-Bragantino,1502202,Capanema ,PA,,Censo 2022,Situação do domicílio,percentual,"84,81",,,,Urbana,,,,
6,Salgado-Bragantino,1502202,Capanema ,PA,,Censo 2022,Situação do domicílio,populacao_pessoas,10690,,,,Rural,,,,
6,Salgado-Bragantino,1502202,Capanema ,PA,,Censo 2022,Situação do domicílio,percentual,"15,19",,,,Rural,,,,
5,Rio Branco-Brasiléia,1200179,Capixaba ,AC,,Censo 2022,Situação do domicílio,populacao_pessoas,4225,,,,Urbana,,,,
5,Rio Branco-Brasiléia,1200179,Capixaba ,AC,,Censo 2022,Situação do domicílio,percentual,"40,66",,,,Urbana,,,,
5,Rio Branco-Brasiléia,1200179,Capixaba ,AC,,Censo 2022,Situação do domicílio,populacao_pessoas,6167,,,,Rural,,,,
5,Rio Branco-Brasiléia,1200179,Capixaba ,AC,,Censo 2022,Situação do domicílio,percentual,"59,34",,,,Rural,,,,
4,Juruá-Tefé,1301001,Carauari ,AM,,Censo 2022,Situação do domicílio,populacao_pessoas,22681,,,,Urbana,,,,
4,Juruá-Tefé,1301001,Carauari ,AM,,Censo 2022,Situação do domicílio,percentual,"78,91",,,,Urbana,,,,
4,Juruá-Tefé,1301001,Carauari ,AM,,Censo 2022,Situação do domicílio,populacao_pessoas,6061,,,,Rural,,,,
4,Juruá-Tefé,1301001,Carauari ,AM,,Censo 2022,Situação do domicílio,percentual,"21,09",,,,Rural,,,,
6,Salgado-Bragantino,1502608,Colares ,PA,,Censo 2022,Situação do domicílio,populacao_pessoas,5093,,,,Urbana,,,,
6,Salgado-Bragantino,1502608,Colares ,PA,,Censo 2022,Situação do domicílio,percentual,"39,58",,,,Urbana,,,,
6,Salgado-Bragantino,1502608,Colares ,PA,,Censo 2022,Situação do domicílio,populacao_pessoas,7775,,,,Rural,,,,
6,Salgado-Bragantino,1502608,Colares ,PA,,Censo 2022,Situação do domicílio,percentual,"60,42",,,,Rural,,,,
6,Salgado-Bragantino,1502905,Curuçá ,PA,,Censo 2022,Situação do domicílio,populacao_pessoas,24716,,,,Urbana,,,,
6,Salgado-Bragantino,1502905,Curuçá ,PA,,Censo 2022,Situação do domicílio,percentual,"59,9",,,,Urbana,,,,
6,Salgado-Bragantino,1502905,Curuçá ,PA,,Censo 2022,Situação do domicílio,populacao_pessoas,16546,,,,Rural,,,,
6,Salgado-Bragantino,1502905,Curuçá ,PA,,Censo 2022,Situação do domicílio,percentual,"40,1",,,,Rural,,,,
2,Macapá,1600212,Cutias ,AP,,Censo 2022,Situação do domicílio,populacao_pessoas,2833,,,,Urbana,,,,
2,Macapá,1600212,Cutias ,AP,,Censo 2022,Situação do domicílio,percentual,"63,51",,,,Urbana,,,,
2,Macapá,1600212,Cutias ,AP,,Censo 2022,Situação do domicílio,populacao_pessoas,1628,,,,Rural,,,,
2,Macapá,1600212,Cutias ,AP,,Censo 2022,Situação do domicílio,percentual,"36,49",,,,Rural,,,,
4,Juruá-Tefé,1301407,Eirunepé ,AM,,Censo 2022,Situação do domicílio,populacao_pessoas,25892,,,,Urbana,,,,
4,Juruá-Tefé,1301407,Eirunepé ,AM,,Censo 2022,Situação do domicílio,percentual,"78,06",,,,Urbana,,,,
4,Juruá-Tefé,1301407,Eirunepé ,AM,,Censo 2022,Situação do domicílio,populacao_pessoas,7278,,,,Rural,,,,
4,Juruá-Tefé,1301407,Eirunepé ,AM,,Censo 2022,Situação do domicílio,percentual,"21,94",,,,Rural,,,,
4,Juruá-Tefé,1301506,Envira ,AM,,Censo 2022,Situação do domicílio,populacao_pessoas,12797,,,,Urbana,,,,
4,Juruá-Tefé,1301506,Envira ,AM,,Censo 2022,Situação do domicílio,percentual,"74,46",,,,Urbana,,,,
4,Juruá-Tefé,1301506,Envira ,AM,,Censo 2022,Situação do domicílio,populacao_pessoas,4389,,,,Rural,,,,
4,Juruá-Tefé,1301506,Envira ,AM,,Censo 2022,Situação do domicílio,percentual,"25,54",,,,Rural,,,,
5,Rio Branco-Brasiléia,1200252,Epitaciolândia ,AC,,Censo 2022,Situação do domicílio,populacao_pessoas,12921,,,,Urbana,,,,
5,Rio Branco-Brasiléia,1200252,Epitaciolândia ,AC,,Censo 2022,Situação do domicílio,percentual,"68,89",,,,Urbana,,,,
5,Rio Branco-Brasiléia,1200252,Epitaciolândia ,AC,,Censo 2022,Situação do domicílio,populacao_pessoas,5836,,,,Rural,,,,
5,Rio Branco-Brasiléia,1200252,Epitaciolândia ,AC,,Censo 2022,Situação do domicílio,percentual,"31,11",,,,Rural,,,,
2,Macapá,1600238,Ferreira Gomes ,AP,,Censo 2022,Situação do domicílio,populacao_pessoas,4726,,,,Urbana,,,,
2,Macapá,1600238,Ferreira Gomes ,AP,,Censo 2022,Situação do domicílio,percentual,"70,9",,,,Urbana,,,,
2,Macapá,1600238,Ferreira Gomes ,AP,,Censo 2022,Situação do domicílio,populacao_pessoas,1940,,,,Rural,,,,
2,Macapá,1600238,Ferreira Gomes ,AP,,Censo 2022,Situação do domicílio,percentual,"29,1",,,,Rural,,,,
4,Juruá-Tefé,1301654,Guajará ,AM,,Censo 2022,Situação do domicílio,populacao_pessoas,9257,,,,Urbana,,,,
4,Juruá-Tefé,1301654,Guajará ,AM,,Censo 2022,Situação do domicílio,percentual,"67,01",,,,Urbana,,,,
4,Juruá-Tefé,1301654,Guajará ,AM,,Censo 2022,Situação do domicílio,populacao_pessoas,4558,,,,Rural,,,,
4,Juruá-Tefé,1301654,Guajará ,AM,,Censo 2022,Situação do domicílio,percentual,"32,99",,,,Rural,,,,
3,Portel,1503101,Gurupá ,PA,,Censo 2022,Situação do domicílio,populacao_pessoas,13228,,,,Urbana,,,,
3,Portel,1503101,Gurupá ,PA,,Censo 2022,Situação do domicílio,percentual,"41,62",,,,Urbana,,,,
3,Portel,1503101,Gurupá ,PA,,Censo 2022,Situação do domicílio,populacao_pessoas,18558,,,,Rural,,,,
3,Portel,1503101,Gurupá ,PA,,Censo 2022,Situação do domicílio,percentual,"58,38",,,,Rural,,,,
6,Salgado-Bragantino,1503200,Igarapé-Açu ,PA,,Censo 2022,Situação do domicílio,populacao_pessoas,24862,,,,Urbana,,,,
6,Salgado-Bragantino,1503200,Igarapé-Açu ,PA,,Censo 2022,Situação do domicílio,percentual,"69,45",,,,Urbana,,,,
6,Salgado-Bragantino,1503200,Igarapé-Açu ,PA,,Censo 2022,Situação do domicílio,populacao_pessoas,10935,,,,Rural,,,,
6,Salgado-Bragantino,1503200,Igarapé-Açu ,PA,,Censo 2022,Situação do domicílio,percentual,"30,55",,,,Rural,,,,
4,Juruá-Tefé,1301803,Ipixuna ,AM,,Censo 2022,Situação do domicílio,populacao_pessoas,16517,,,,Urbana,,,,
4,Juruá-Tefé,1301803,Ipixuna ,AM,,Censo 2022,Situação do domicílio,percentual,"67,94",,,,Urbana,,,,
4,Juruá-Tefé,1301803,Ipixuna ,AM,,Censo 2022,Situação do domicílio,populacao_pessoas,7794,,,,Rural,,,,
4,Juruá-Tefé,1301803,Ipixuna ,AM,,Censo 2022,Situação do domicílio,percentual,"32,06",,,,Rural,,,,
4,Juruá-Tefé,1301951,Itamarati ,AM,,Censo 2022,Situação do domicílio,populacao_pessoas,7401,,,,Urbana,,,,
4,Juruá-Tefé,1301951,Itamarati ,AM,,Censo 2022,Situação do domicílio,percentual,"67,67",,,,Urbana,,,,
4,Juruá-Tefé,1301951,Itamarati ,AM,,Censo 2022,Situação do domicílio,populacao_pessoas,3536,,,,Rural,,,,
4,Juruá-Tefé,1301951,Itamarati ,AM,,Censo 2022,Situação do domicílio,percentual,"32,33",,,,Rural,,,,
2,Macapá,1600253,Itaubal ,AP,,Censo 2022,Situação do domicílio,populacao_pessoas,2710,,,,Urbana,,,,
2,Macapá,1600253,Itaubal ,AP,,Censo 2022,Situação do domicílio,percentual,"48,4",,,,Urbana,,,,
2,Macapá,1600253,Itaubal ,AP,,Censo 2022,Situação do domicílio,populacao_pessoas,2889,,,,Rural,,,,
2,Macapá,1600253,Itaubal ,AP,,Censo 2022,Situação do domicílio,percentual,"51,6",,,,Rural,,,,
4,Juruá-Tefé,1302207,Juruá ,AM,,Censo 2022,Situação do domicílio,populacao_pessoas,7215,,,,Urbana,,,,
4,Juruá-Tefé,1302207,Juruá ,AM,,Censo 2022,Situação do domicílio,percentual,"67,17",,,,Urbana,,,,
4,Juruá-Tefé,1302207,Juruá ,AM,,Censo 2022,Situação do domicílio,populacao_pessoas,3527,,,,Rural,,,,
4,Juruá-Tefé,1302207,Juruá ,AM,,Censo 2022,Situação do domicílio,percentual,"32,83",,,,Rural,,,,
2,Macapá,1600303,Macapá ,AP,,Censo 2022,Situação do domicílio,populacao_pessoas,418800,,,,Urbana,,,,
2,Macapá,1600303,Macapá ,AP,,Censo 2022,Situação do domicílio,percentual,"94,55",,,,Urbana,,,,
2,Macapá,1600303,Macapá ,AP,,Censo 2022,Situação do domicílio,populacao_pessoas,24133,,,,Rural,,,,
2,Macapá,1600303,Macapá ,AP,,Censo 2022,Situação do domicílio,percentual,"5,45",,,,Rural,,,,
6,Salgado-Bragantino,1504109,Magalhães Barata ,PA,,Censo 2022,Situação do domicílio,populacao_pessoas,3857,,,,Urbana,,,,
6,Salgado-Bragantino,1504109,Magalhães Barata ,PA,,Censo 2022,Situação do domicílio,percentual,"47,53",,,,Urbana,,,,
6,Salgado-Bragantino,1504109,Magalhães Barata ,PA,,Censo 2022,Situação do domicílio,populacao_pessoas,4258,,,,Rural,,,,
6,Salgado-Bragantino,1504109,Magalhães Barata ,PA,,Censo 2022,Situação do domicílio,percentual,"52,47",,,,Rural,,,,
6,Salgado-Bragantino,1504307,Maracanã ,PA,,Censo 2022,Situação do domicílio,populacao_pessoas,10813,,,,Urbana,,,,
6,Salgado-Bragantino,1504307,Maracanã ,PA,,Censo 2022,Situação do domicílio,percentual,"41,63",,,,Urbana,,,,
6,Salgado-Bragantino,1504307,Maracanã ,PA,,Censo 2022,Situação do domicílio,populacao_pessoas,15158,,,,Rural,,,,
6,Salgado-Bragantino,1504307,Maracanã ,PA,,Censo 2022,Situação do domicílio,percentual,"58,37",,,,Rural,,,,
6,Salgado-Bragantino,1504406,Marapanim ,PA,,Censo 2022,Situação do domicílio,populacao_pessoas,15249,,,,Urbana,,,,
6,Salgado-Bragantino,1504406,Marapanim ,PA,,Censo 2022,Situação do domicílio,percentual,"57,39",,,,Urbana,,,,
6,Salgado-Bragantino,1504406,Marapanim ,PA,,Censo 2022,Situação do domicílio,populacao_pessoas,11324,,,,Rural,,,,
6,Salgado-Bragantino,1504406,Marapanim ,PA,,Censo 2022,Situação do domicílio,percentual,"42,61",,,,Rural,,,,
1,Altamira,1504455,Medicilândia ,PA,,Censo 2022,Situação do domicílio,populacao_pessoas,10745,,,,Urbana,,,,
1,Altamira,1504455,Medicilândia ,PA,,Censo 2022,Situação do domicílio,percentual,"39,66",,,,Urbana,,,,
1,Altamira,1504455,Medicilândia ,PA,,Censo 2022,Situação do domicílio,populacao_pessoas,16349,,,,Rural,,,,
1,Altamira,1504455,Medicilândia ,PA,,Censo 2022,Situação do domicílio,percentual,"60,34",,,,Rural,,,,
3,Portel,1504505,Melgaço ,PA,,Censo 2022,Situação do domicílio,populacao_pessoas,9657,,,,Urbana,,,,
3,Portel,1504505,Melgaço ,PA,,Censo 2022,Situação do domicílio,percentual,"34,64",,,,Urbana,,,,
3,Portel,1504505,Melgaço ,PA,,Censo 2022,Situação do domicílio,populacao_pessoas,18224,,,,Rural,,,,
3,Portel,1504505,Melgaço ,PA,,Censo 2022,Situação do domicílio,percentual,"65,36",,,,Rural,,,,
6,Salgado-Bragantino,1505007,Nova Timboteua ,PA,,Censo 2022,Situação do domicílio,populacao_pessoas,9105,,,,Urbana,,,,
6,Salgado-Bragantino,1505007,Nova Timboteua ,PA,,Censo 2022,Situação do domicílio,percentual,"71,1",,,,Urbana,,,,
6,Salgado-Bragantino,1505007,Nova Timboteua ,PA,,Censo 2022,Situação do domicílio,populacao_pessoas,3701,,,,Rural,,,,
6,Salgado-Bragantino,1505007,Nova Timboteua ,PA,,Censo 2022,Situação do domicílio,percentual,"28,9",,,,Rural,,,,
1,Altamira,1505486,Pacajá ,PA,,Censo 2022,Situação do domicílio,populacao_pessoas,18964,,,,Urbana,,,,
1,Altamira,1505486,Pacajá ,PA,,Censo 2022,Situação do domicílio,percentual,"46,14",,,,Urbana,,,,
1,Altamira,1505486,Pacajá ,PA,,Censo 2022,Situação do domicílio,populacao_pessoas,22133,,,,Rural,,,,
1,Altamira,1505486,Pacajá ,PA,,Censo 2022,Situação do domicílio,percentual,"53,86",,,,Rural,,,,
2,Macapá,1600154,Pedra Branca do Amapari ,AP,,Censo 2022,Situação do domicílio,populacao_pessoas,8607,,,,Urbana,,,,
2,Macapá,1600154,Pedra Branca do Amapari ,AP,,Censo 2022,Situação do domicílio,percentual,67,,,,Urbana,,,,
2,Macapá,1600154,Pedra Branca do Amapari ,AP,,Censo 2022,Situação do domicílio,populacao_pessoas,4240,,,,Rural,,,,
2,Macapá,1600154,Pedra Branca do Amapari ,AP,,Censo 2022,Situação do domicílio,percentual,33,,,,Rural,,,,
6,Salgado-Bragantino,1505601,Peixe-Boi ,PA,,Censo 2022,Situação do domicílio,populacao_pessoas,4986,,,,Urbana,,,,
6,Salgado-Bragantino,1505601,Peixe-Boi ,PA,,Censo 2022,Situação do domicílio,percentual,"60,18",,,,Urbana,,,,
6,Salgado-Bragantino,1505601,Peixe-Boi ,PA,,Censo 2022,Situação do domicílio,populacao_pessoas,3299,,,,Rural,,,,
6,Salgado-Bragantino,1505601,Peixe-Boi ,PA,,Censo 2022,Situação do domicílio,percentual,"39,82",,,,Rural,,,,
5,Rio Branco-Brasiléia,1200385,Plácido de Castro ,AC,,Censo 2022,Situação do domicílio,populacao_pessoas,10739,,,,Urbana,,,,
5,Rio Branco-Brasiléia,1200385,Plácido de Castro ,AC,,Censo 2022,Situação do domicílio,percentual,"64,85",,,,Urbana,,,,
5,Rio Branco-Brasiléia,1200385,Plácido de Castro ,AC,,Censo 2022,Situação do domicílio,populacao_pessoas,5821,,,,Rural,,,,
5,Rio Branco-Brasiléia,1200385,Plácido de Castro ,AC,,Censo 2022,Situação do domicílio,percentual,"35,15",,,,Rural,,,,
3,Portel,1505809,Portel ,PA,,Censo 2022,Situação do domicílio,populacao_pessoas,30223,,,,Urbana,,,,
3,Portel,1505809,Portel ,PA,,Censo 2022,Situação do domicílio,percentual,"48,35",,,,Urbana,,,,
3,Portel,1505809,Portel ,PA,,Censo 2022,Situação do domicílio,populacao_pessoas,32280,,,,Rural,,,,
3,Portel,1505809,Portel ,PA,,Censo 2022,Situação do domicílio,percentual,"51,65",,,,Rural,,,,
5,Rio Branco-Brasiléia,1200807,Porto Acre ,AC,,Censo 2022,Situação do domicílio,populacao_pessoas,9465,,,,Urbana,,,,
5,Rio Branco-Brasiléia,1200807,Porto Acre ,AC,,Censo 2022,Situação do domicílio,percentual,"56,7",,,,Urbana,,,,
5,Rio Branco-Brasiléia,1200807,Porto Acre ,AC,,Censo 2022,Situação do domicílio,populacao_pessoas,7228,,,,Rural,,,,
5,Rio Branco-Brasiléia,1200807,Porto Acre ,AC,,Censo 2022,Situação do domicílio,percentual,"43,3",,,,Rural,,,,
2,Macapá,1600535,Porto Grande ,AP,,Censo 2022,Situação do domicílio,populacao_pessoas,12081,,,,Urbana,,,,
2,Macapá,1600535,Porto Grande ,AP,,Censo 2022,Situação do domicílio,percentual,"67,69",,,,Urbana,,,,
2,Macapá,1600535,Porto Grande ,AP,,Censo 2022,Situação do domicílio,populacao_pessoas,5767,,,,Rural,,,,
2,Macapá,1600535,Porto Grande ,AP,,Censo 2022,Situação do domicílio,percentual,"32,31",,,,Rural,,,,
6,Salgado-Bragantino,1506104,Primavera ,PA,,Censo 2022,Situação do domicílio,populacao_pessoas,7202,,,,Urbana,,,,
6,Salgado-Bragantino,1506104,Primavera ,PA,,Censo 2022,Situação do domicílio,percentual,"66,37",,,,Urbana,,,,
6,Salgado-Bragantino,1506104,Primavera ,PA,,Censo 2022,Situação do domicílio,populacao_pessoas,3649,,,,Rural,,,,
6,Salgado-Bragantino,1506104,Primavera ,PA,,Censo 2022,Situação do domicílio,percentual,"33,63",,,,Rural,,,,
6,Salgado-Bragantino,1506112,Quatipuru ,PA,,Censo 2022,Situação do domicílio,populacao_pessoas,9651,,,,Urbana,,,,
6,Salgado-Bragantino,1506112,Quatipuru ,PA,,Censo 2022,Situação do domicílio,percentual,"83,75",,,,Urbana,,,,
6,Salgado-Bragantino,1506112,Quatipuru ,PA,,Censo 2022,Situação do domicílio,populacao_pessoas,1873,,,,Rural,,,,
6,Salgado-Bragantino,1506112,Quatipuru ,PA,,Censo 2022,Situação do domicílio,percentual,"16,25",,,,Rural,,,,
5,Rio Branco-Brasiléia,1200401,Rio Branco ,AC,,Censo 2022,Situação do domicílio,populacao_pessoas,341025,,,,Urbana,,,,
5,Rio Branco-Brasiléia,1200401,Rio Branco ,AC,,Censo 2022,Situação do domicílio,percentual,"93,49",,,,Urbana,,,,
5,Rio Branco-Brasiléia,1200401,Rio Branco ,AC,,Censo 2022,Situação do domicílio,populacao_pessoas,23731,,,,Rural,,,,
5,Rio Branco-Brasiléia,1200401,Rio Branco ,AC,,Censo 2022,Situação do domicílio,percentual,"6,51",,,,Rural,,,,
6,Salgado-Bragantino,1506203,Salinópolis ,PA,,Censo 2022,Situação do domicílio,populacao_pessoas,41139,,,,Urbana,,,,
6,Salgado-Bragantino,1506203,Salinópolis ,PA,,Censo 2022,Situação do domicílio,percentual,"91,89",,,,Urbana,,,,
6,Salgado-Bragantino,1506203,Salinópolis ,PA,,Censo 2022,Situação do domicílio,populacao_pessoas,3633,,,,Rural,,,,
6,Salgado-Bragantino,1506203,Salinópolis ,PA,,Censo 2022,Situação do domicílio,percentual,"8,11",,,,Rural,,,,
6,Salgado-Bragantino,1506609,Santa Maria do Pará ,PA,,Censo 2022,Situação do domicílio,populacao_pessoas,17080,,,,Urbana,,,,
6,Salgado-Bragantino,1506609,Santa Maria do Pará ,PA,,Censo 2022,Situação do domicílio,percentual,"69,36",,,,Urbana,,,,
6,Salgado-Bragantino,1506609,Santa Maria do Pará ,PA,,Censo 2022,Situação do domicílio,populacao_pessoas,7544,,,,Rural,,,,
6,Salgado-Bragantino,1506609,Santa Maria do Pará ,PA,,Censo 2022,Situação do domicílio,percentual,"30,64",,,,Rural,,,,
2,Macapá,1600600,Santana ,AP,,Censo 2022,Situação do domicílio,populacao_pessoas,103232,,,,Urbana,,,,
2,Macapá,1600600,Santana ,AP,,Censo 2022,Situação do domicílio,percentual,"95,92",,,,Urbana,,,,
2,Macapá,1600600,Santana ,AP,,Censo 2022,Situação do domicílio,populacao_pessoas,4386,,,,Rural,,,,
2,Macapá,1600600,Santana ,AP,,Censo 2022,Situação do domicílio,percentual,"4,08",,,,Rural,,,,
6,Salgado-Bragantino,1506906,Santarém Novo ,PA,,Censo 2022,Situação do domicílio,populacao_pessoas,1910,,,,Urbana,,,,
6,Salgado-Bragantino,1506906,Santarém Novo ,PA,,Censo 2022,Situação do domicílio,percentual,"31,23",,,,Urbana,,,,
6,Salgado-Bragantino,1506906,Santarém Novo ,PA,,Censo 2022,Situação do domicílio,populacao_pessoas,4206,,,,Rural,,,,
6,Salgado-Bragantino,1506906,Santarém Novo ,PA,,Censo 2022,Situação do domicílio,percentual,"68,77",,,,Rural,,,,
5,Rio Branco-Brasiléia,1200450,Senador Guiomard ,AC,,Censo 2022,Situação do domicílio,populacao_pessoas,13355,,,,Urbana,,,,
5,Rio Branco-Brasiléia,1200450,Senador Guiomard ,AC,,Censo 2022,Situação do domicílio,percentual,"62,25",,,,Urbana,,,,
5,Rio Branco-Brasiléia,1200450,Senador Guiomard ,AC,,Censo 2022,Situação do domicílio,populacao_pessoas,8099,,,,Rural,,,,
5,Rio Branco-Brasiléia,1200450,Senador Guiomard ,AC,,Censo 2022,Situação do domicílio,percentual,"37,75",,,,Rural,,,,
1,Altamira,1507805,Senador José Porfírio ,PA,,Censo 2022,Situação do domicílio,populacao_pessoas,8963,,,,Urbana,,,,
1,Altamira,1507805,Senador José Porfírio ,PA,,Censo 2022,Situação do domicílio,percentual,"39,7",,,,Urbana,,,,
1,Altamira,1507805,Senador José Porfírio ,PA,,Censo 2022,Situação do domicílio,populacao_pessoas,13613,,,,Rural,,,,
1,Altamira,1507805,Senador José Porfírio ,PA,,Censo 2022,Situação do domicílio,percentual,"60,3",,,,Rural,,,,
2,Macapá,1600055,Serra do Navio ,AP,,Censo 2022,Situação do domicílio,populacao_pessoas,2721,,,,Urbana,,,,
2,Macapá,1600055,Serra do Navio ,AP,,Censo 2022,Situação do domicílio,percentual,"58,23",,,,Urbana,,,,
2,Macapá,1600055,Serra do Navio ,AP,,Censo 2022,Situação do domicílio,populacao_pessoas,1952,,,,Rural,,,,
